Artificial O
Intelligence O
will B_TEMPPRED
provide M_TEMPPRED
a M_TEMPPRED
scenario M_TEMPPRED
in E_TEMPPRED
2050 O
of O
profound O
changes O
in O
work O
, O
replacing O
humans O
with O
robots O
and O
software O
in O
various O
areas O
, O
especially O
in O
tasks O
that O
do O
not O
use O
critical O
thinking O
and O
the O
accumulation O
of O
knowledge O
acquired O
by O
human O
learning O
experiences O
. O

In U_TEMPPRED
2050 O
, O
the O
rapid O
growth O
of O
the O
global O
population O
also O
starts O
to O
decrease O
and O
the O
population O
stabilizes O
around O
ten O
billion O
people O
. O
With O
the O
increased O
population O
number O
, O
more O
cities O
start O
to O
appear O
. O
People O
start O
to O
migrate O
from O
larger O
cities O
to O
smaller O
ones O
, O
with O
better O
living O
conditions O
. O

In O
this O
scenario O
, O
we O
present O
a O
pessimist O
foresight O
of O
how O
working O
will O
be O
in B_TEMPPRED
the M_TEMPPRED
year M_TEMPPRED
of E_TEMPPRED
2050 O
. O
Using O
the O
trending O
changes O
identified O
in O
the O
Key O
Trends O
of O
the O
Future O
, O
we O
present O
our O
view O
of O
the O
upcoming O
decades O
if O
the O
worst O
is O
to O
happen O
. O

In O
this O
scenario O
, O
countries O
like O
Brazil O
, O
China O
, O
India O
, O
Indonesia O
and O
Mexico O
are O
likely O
to O
grow O
their O
GDP O
an O
average O
of O
three O
to O
four O
percent O
per O
year O
. O
Mexico O
and O
Indonesia O
are O
likely O
to O
be O
economically O
larger O
than O
the O
United O
Kingdom O
and O
France O
while O
Pakistan O
and O
Egypt O
could O
overtake O
Italy O
and O
Canada O
on O
a O
Purchasing O
Power O
Parity O
( O
PPP O
) O
basis O
. O
In O
terms O
of O
growth O
per O
year O
, O
Vietnam O
, O
India O
and O
Bangladesh O
can O
be O
the O
fastest O
growing O
economies O
from B_TEMPPRED
now M_TEMPPRED
to E_TEMPPRED
2050 O
. O

By U_TEMPPRED
2050 O
, O
86% O
of O
the O
developed O
, O
and O
64% O
of O
the O
developing O
world O
will O
be O
urbanized O
. O
This O
behavior O
shows O
some O
negative O
and O
positive O
trends O
, O
urbanization O
may O
cause O
unplanned O
growth O
of O
cities O
, O
health O
hazards O
caused O
by O
air O
and O
water O
pollution O
and O
unemployment O
. O
On O
the O
other O
hand O
, O
urbanization O
can O
reduce O
expenses O
on O
transports O
, O
education O
and O
create O
cultural O
diversity O
. O

Today O
educational O
policymakers O
face O
the O
same O
kind O
of O
choices O
: O
to O
look O
far O
ahead O
seeking O
emerging O
educational O
opportunities O
or O
just O
make O
moderate O
innovations O
that O
appear O
creative O
. O
Fortunately O
, O
the O
Ministry O
of O
Education O
and O
Human O
Resources O
Development O
of O
the O
Republic O
of O
Korea O
has O
requested O
this O
international O
assessment O
of O
future O
possibilities O
for O
education O
and O
learning O
by B_TEMPPRED
the M_TEMPPRED
year E_TEMPPRED
2030 O
to O
help O
inform O
them O
of O
their O
choices O
for O
setting O
better O
long O
- O
range O
educational O
policies O
. O

In O
parallel O
, O
brain O
function O
should O
also O
be O
dramatically O
increased O
by O
improved O
personal O
nutrition O
and O
brain O
enhancement O
pharmaceuticals O
. O
Insights O
from O
partial O
mapping O
of O
the O
human O
brain O
and O
other O
methods O
could O
dramatically O
increase O
personal O
intelligence O
and O
longevity O
by U_TEMPPRED
2030 O
. O
More O
remotely O
in O
the O
future O
, O
brains O
may O
be O
genetically O
enhanced O
and O
designer O
bacteria O
could O
make O
the O
brain O
cells O
work O
more O
efficiently O
. O
With O
the O
use O
of O
public O
communications O
to O
reinforce O
the O
pursuit O
of O
knowledge O
and O
the O
use O
of O
these O
learning O
innovations O
and O
educational O
concepts O
, O
individual O
and O
collective O
intelligence O
of O
societies O
could O
be O
improved O
